System,Resolution,Count,Group
AXISCPP,Invalid,653,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,,4261,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Not A Problem,477,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Incomplete,322,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Won't Fix,802,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Duplicate,610,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Cannot Reproduce,431,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Later,30,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Fixed,19309,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Invalid,653,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,,4545,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Not A Problem,478,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Incomplete,440,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Won't Fix,814,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Duplicate,643,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Cannot Reproduce,453,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Later,72,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Fixed,19422,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Invalid,662,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,,4576,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Not A Problem,478,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Incomplete,440,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Won't Fix,823,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Duplicate,648,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Cannot Reproduce,458,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Later,72,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Fixed,19617,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Invalid,686,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,,4679,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Not A Problem,480,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Incomplete,460,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Won't Fix,880,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Duplicate,692,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Cannot Reproduce,467,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Later,72,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Fixed,20578,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Invalid,720,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,,4828,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Not A Problem,480,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Incomplete,461,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Won't Fix,932,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Duplicate,709,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Cannot Reproduce,484,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
