System,Type,Count,Group
ASYNCWEB,New Feature,1063,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Task,1050,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Wish,83,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Brainstorming,3,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Documentation,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Story,14,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Dependency upgrade,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,New JIRA Project,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Bug,8940,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Test,97,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Improvement,3246,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Question,21,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,New Feature,1063,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Task,1079,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Wish,83,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Brainstorming,3,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Documentation,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Story,14,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Dependency upgrade,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,New JIRA Project,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Bug,9549,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Test,127,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Improvement,3754,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Question,21,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,New Feature,1269,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Task,1097,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Wish,93,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Brainstorming,3,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Documentation,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Story,14,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
