Issue key,Issue id,Project key,Project name,Project type,Status,Issue Type,Created,Resolved
P4DPIII-32,641056,P4DPIII,,software,Done,Task,02/10/2019 16:01,16/12/2019 07:34
P4DPIII-31,602539,P4DPIII,,software,Done,Task,04/04/2019 16:43,10/12/2019 17:20
P4DPIII-30,640992,P4DPIII,,software,Done,Task,02/10/2019 12:00,09/12/2019 10:49
P4DPIII-29,640991,P4DPIII,,software,Done,Task,02/10/2019 11:59,11/02/2020 11:01
P4DPIII-28,640989,P4DPIII,,software,Done,Task,02/10/2019 11:55,08/01/2020 09:54
P4DPIII-27,640986,P4DPIII,,software,Done,Epic,02/10/2019 11:52,19/03/2020 22:59
P4DPIII-26,640978,P4DPIII,,software,Done,Task,02/10/2019 11:43,10/02/2020 13:36
P4DPIII-25,617482,P4DPIII,,software,Done,Task,30/05/2019 18:01,19/03/2020 13:41
P4DPIII-24,571538,P4DPIII,,software,Done,Task,27/11/2018 16:43,06/12/2019 14:38
P4DPIII-22,640678,P4DPIII,,software,Done,Task,01/10/2019 10:06,19/05/2020 12:13
P4DPIII-21,640094,P4DPIII,,software,Done,Task,26/09/2019 17:42,18/11/2019 14:09
P4DPIII-20,640093,P4DPIII,,software,Done,Task,26/09/2019 17:40,07/11/2019 08:46
P4DPIII-19,640092,P4DPIII,,software,Done,Task,26/09/2019 17:39,22/11/2019 10:38
P4DPIII-18,640091,P4DPIII,,software,Done,Task,26/09/2019 17:30,21/11/2019 09:07
P4DPIII-17,640090,P4DPIII,,software,Done,Task,26/09/2019 17:12,08/11/2019 10:45
P4DPIII-16,640088,P4DPIII,,software,Done,Task,26/09/2019 17:01,06/11/2019 13:46
P4DPIII-15,635859,P4DPIII,,software,To Do,Task,03/09/2019 14:36,
P4DPIII-11,556608,P4DPIII,,software,Done,Task,19/09/2018 14:49,31/12/2019 10:04
P4DPIII-10,551854,P4DPIII,,software,Done,Task,28/08/2018 22:44,06/12/2019 08:08
P4DPIII-8,595342,P4DPIII,,software,Done,Task,08/03/2019 15:23,07/02/2020 13:07
P4DPIII-7,613155,P4DPIII,,software,To Do,Task,15/05/2019 13:06,
P4DPIII-6,600047,P4DPIII,,software,Done,Task,27/03/2019 08:48,06/02/2020 15:37
P4DPIII-3,613148,P4DPIII,,software,To Do,Task,15/05/2019 13:00,
P4DPIII-2,595355,P4DPIII,,software,Done,Epic,08/03/2019 15:41,19/03/2020 22:56
P4DPIII-1,602538,P4DPIII,,software,To Do,Task,04/04/2019 16:41,
